customer_id,customer_name,email,registration_date,customer_type
C0088,Customer 88,customer88@gmail.com,2025-05-04,REGULAR
C0089,Customer 89,customer89@gmail.com,2025-10-28,REGULAR
C0090,Customer 90,customer90@gmail.com,2024-02-09,VIP
C0091,Customer 91,customer91@gmail.com,2024-09-11,VIP
C0092,Customer 92,customer92@gmail.com,2026-04-06,REGULAR
C0093,Customer 93,customer93@gmail.com,2025-02-28,PREMIUM
C0094,Customer 94,customer94@gmail.com,2025-05-26,REGULAR
C0095,Customer 95,customer95@gmail.com,2026-07-08,PREMIUM
C0096,Customer 96,customer96@gmail.com,2024-04-29,PREMIUM
C0097,Customer 97,customer97@gmail.com,2024-07-27,VIP
C0098,Customer 98,customer98@gmail.com,2024-12-18,VIP
C0099,Customer 99,customer99@gmail.com,2026-02-02,REGULAR
C0100,Customer 100,customer100@gmail.com,2026-05-12,VIP
C0101,Customer 101,customer101@gmail.com,2026-05-09,VIP
C0102,Customer 102,customer102@gmail.com,2026-05-20,VIP
C0103,Customer 103,customer103@gmail.com,2023-12-12,VIP
C0104,Customer 104,customer104@gmail.com,2025-02-05,REGULAR
C0105,Customer 105,customer105@gmail.com,2026-05-01,VIP
C0106,Customer 106,customer106@gmail.com,2024-02-09,REGULAR
C0107,Customer 107,customer107@gmail.com,2023-11-19,VIP
C0108,Customer 108,customer108@gmail.com,2024-11-09,REGULAR
C0109,Customer 109,customer109@gmail.com,2025-05-07,VIP
C0110,Customer 110,customer110@gmail.com,2025-01-21,PREMIUM
C0111,Customer 111,customer111@gmail.com,2025-12-13,VIP
C0112,Customer 112,customer112@gmail.com,2025-11-08,PREMIUM
C0113,Customer 113,customer113@gmail.com,2024-08-22,VIP
C0114,Customer 114,customer114@gmail.com,2025-08-21,REGULAR
C0115,Customer 115,customer115gmail.com,2024-10-12,VIP
C0116,Customer 116,customer116@gmail.com,2026-04-26,VIP
C0117,Customer 117,customer117@gmail.com,2025-10-12,REGULAR
C0118,Customer 118,customer118@gmail.com,2024-01-20,REGULAR
C0119,Customer 119,customer119@gmail.com,2025-06-27,PREMIUM
C0120,Customer 120,customer120@gmail.com,2024-03-09,VIP
C0121,Customer 121,customer121@gmail.com,2024-10-22,VIP
C0122,Customer 122,customer122@gmail.com,2024-08-26,VIP
C0123,Customer 123,customer123@gmail.com,2024-08-30,REGULAR
C0124,Customer 124,customer124@gmail.com,2026-02-23,PREMIUM
C0125,Customer 125,customer125@gmail.com,2026-03-23,VIP
C0126,Customer 126,customer126@gmail.com,2025-10-05,PREMIUM
C0127,Customer 127,customer127@gmail.com,2024-07-06,PREMIUM
C0128,Customer 128,customer128@gmail.com,2024-09-29,PREMIUM
C0129,Customer 129,customer129@gmail.com,2025-10-26,REGULAR
C0130,Customer 130,customer130@gmail.com,2025-05-03,PREMIUM
C0131,Customer 131,customer131@gmail.com,2025-08-03,REGULAR
C0132,Customer 132,customer132@gmail.com,2025-10-15,REGULAR
C0133,Customer 133,customer133@gmail.com,2024-12-23,VIP
C0134,Customer 134,customer134@gmail.com,2026-07-01,REGULAR
C0135,Customer 135,customer135@gmail.com,2024-01-18,VIP
C0136,Customer 136,customer136@gmail.com,2024-12-29,REGULAR
C0137,Customer 137,customer137@gmail.com,2024-11-21,VIP
C0138,Customer 138,customer138@gmail.com,2026-03-02,REGULAR
C0139,Customer 139,customer139@gmail.com,2024-01-02,REGULAR
C0140,Customer 140,customer140@gmail.com,2025-12-07,VIP
C0141,Customer 141,customer141@gmail.com,2026-03-27,PREMIUM
C0142,Customer 142,customer142@gmail.com,2024-01-17,PREMIUM
C0143,Customer 143,customer143@gmail.com,2024-06-03,REGULAR
C0144,Customer 144,customer144@gmail.com,2025-11-10,REGULAR
C0145,Customer 145,customer145@gmail.com,2024-04-01,REGULAR
C0146,Customer 146,customer146@gmail.com,2026-06-15,REGULAR
C0147,Customer 147,customer147@gmail.com,2025-08-04,PREMIUM
C0148,Customer 148,customer148@gmail.com,2024-02-07,VIP
C0149,Customer 149,customer149@gmail.com,2025-10-10,REGULAR
C0150,Customer 150,customer150@gmail.com,2026-03-22,PREMIUM
C0151,Customer 151,customer151@gmail.com,2024-02-12,PREMIUM
C0152,Customer 152,customer152@gmail.com,2024-03-26,PREMIUM
C0153,Customer 153,customer153@gmail.com,2024-03-22,REGULAR
C0154,Customer 154,customer154@gmail.com,2024-09-03,REGULAR
C0155,Customer 155,customer155@gmail.com,2025-09-28,REGULAR
C0156,Customer 156,customer156@gmail.com,2025-09-28,PREMIUM
C0157,Customer 157,customer157@gmail.com,2025-05-27,VIP
C0158,Customer 158,customer158@gmail.com,2025-01-07,PREMIUM
C0159,Customer 159,customer159@gmail.com,2026-03-14,PREMIUM
C0160,Customer 160,customer160@gmail.com,2025-10-12,REGULAR
C0161,Customer 161,customer161@gmail.com,2025-04-22,PREMIUM
C0162,Customer 162,customer162@gmail.com,2025-08-23,PREMIUM
C0163,Customer 163,customer163@gmail.com,2025-02-02,REGULAR
C0164,Customer 164,customer164@gmail.com,2024-11-27,REGULAR
C0165,Customer 165,customer165@gmail.com,2024-07-15,PREMIUM
C0166,Customer 166,customer166gmail.com,2023-12-06,VIP
C0167,Customer 167,customer167@gmail.com,2023-11-21,VIP
C0168,Customer 168,customer168@gmail.com,2025-12-21,PREMIUM
C0169,Customer 169,customer169@gmail.com,2024-08-29,PREMIUM
C0170,Customer 170,customer170@gmail.com,2024-08-30,REGULAR
C0171,Customer 171,customer171@gmail.com,2025-09-06,VIP
C0172,Customer 172,customer172@gmail.com,2025-05-18,PREMIUM
C0173,Customer 173,customer173@gmail.com,2025-09-11,VIP
C0174,Customer 174,customer174@gmail.com,2025-05-06,VIP
C0175,Customer 175,customer175@gmail.com,2024-08-16,VIP
C0176,Customer 176,customer176@gmail.com,2024-10-18,VIP
C0177,Customer 177,customer177@gmail.com,2024-12-26,REGULAR
C0178,Customer 178,customer178@gmail.com,2025-12-07,PREMIUM
C0179,Customer 179,customer179@gmail.com,2024-10-27,VIP
C0180,Customer 180,customer180@gmail.com,2025-04-14,PREMIUM
C0181,Customer 181,customer181@gmail.com,2025-02-02,PREMIUM
C0182,Customer 182,customer182@gmail.com,2024-04-16,VIP
C0183,Customer 183,customer183@gmail.com,2026-04-15,PREMIUM
C0184,Customer 184,customer184@gmail.com,2024-09-30,VIP
C0185,Customer 185,customer185@gmail.com,2024-03-24,REGULAR
C0186,Customer 186,customer186@gmail.com,2025-11-22,REGULAR
C0187,Customer 187,customer187@gmail.com,2026-05-24,REGULAR
C0188,Customer 188,customer188@gmail.com,2024-10-23,REGULAR
C0189,Customer 189,customer189@gmail.com,2024-01-15,VIP
C0190,Customer 190,customer190@gmail.com,2024-07-05,VIP
C0191,Customer 191,customer191@gmail.com,2025-05-27,REGULAR
C0192,Customer 192,customer192@gmail.com,2024-08-05,REGULAR
C0193,Customer 193,customer193@gmail.com,2024-02-10,REGULAR
C0194,Customer 194,customer194@gmail.com,2025-11-28,REGULAR
C0195,Customer 195,customer195@gmail.com,2024-07-28,VIP
C0196,Customer 196,customer196@gmail.com,2024-12-17,REGULAR
C0197,Customer 197,customer197@gmail.com,2026-03-08,PREMIUM
C0198,Customer 198,customer198@gmail.com,2025-03-22,VIP
C0199,Customer 199,customer199@gmail.com,2024-12-15,VIP
C0200,Customer 200,customer200@gmail.com,2024-05-28,PREMIUM
C0201,Customer 201,customer201@gmail.com,2024-07-04,VIP
C0202,Customer 202,customer202@gmail.com,2023-12-25,VIP
C0203,Customer 203,customer203@gmail.com,2026-01-29,VIP
C0204,Customer 204,customer204@gmail.com,2025-04-06,PREMIUM
C0205,Customer 205,customer205@gmail.com,2024-03-02,VIP
C0206,Customer 206,customer206@gmail.com,2024-05-05,VIP
C0207,Customer 207,customer207@gmail.com,2025-11-08,PREMIUM
C0208,Customer 208,customer208@gmail.com,2024-07-10,PREMIUM
C0209,Customer 209,customer209@gmail.com,2025-08-01,PREMIUM
C0210,Customer 210,customer210@gmail.com,2026-04-19,REGULAR
C0211,Customer 211,customer211@gmail.com,2025-06-13,VIP
C0212,Customer 212,customer212@gmail.com,2025-12-03,REGULAR
C0213,Customer 213,customer213@gmail.com,2025-08-06,VIP
C0214,Customer 214,customer214@gmail.com,2026-05-08,REGULAR
C0215,Customer 215,customer215@gmail.com,2025-06-07,VIP
C0216,Customer 216,customer216@gmail.com,2026-06-20,VIP
C0217,Customer 217,customer217@gmail.com,2026-07-04,PREMIUM
C0218,Customer 218,customer218@gmail.com,2025-06-06,PREMIUM
C0219,Customer 219,customer219@gmail.com,2024-06-18,VIP
C0220,Customer 220,customer220@gmail.com,2024-01-03,REGULAR
C0221,Customer 221,customer221@gmail.com,2025-10-04,PREMIUM
C0222,Customer 222,customer222@gmail.com,2025-06-07,PREMIUM
C0223,Customer 223,customer223@gmail.com,2024-04-14,PREMIUM
C0224,Customer 224,customer224@gmail.com,2024-03-02,PREMIUM
C0225,Customer 225,customer225@gmail.com,2024-10-11,VIP
C0226,Customer 226,customer226@gmail.com,2025-06-02,VIP
C0227,Customer 227,customer227@gmail.com,2026-06-13,REGULAR
C0228,Customer 228,customer228@gmail.com,2026-02-22,PREMIUM
C0229,Customer 229,customer229@gmail.com,2025-10-17,PREMIUM
C0230,Customer 230,customer230@gmail.com,2025-04-01,PREMIUM
C0231,Customer 231,customer231@gmail.com,2024-01-22,PREMIUM
C0232,Customer 232,customer232@gmail.com,2024-03-11,PREMIUM
C0233,Customer 233,customer233@gmail.com,2026-04-18,PREMIUM
C0234,Customer 234,customer234gmail.com,2025-01-04,REGULAR
C0235,Customer 235,customer235@gmail.com,2025-07-17,REGULAR
C0236,Customer 236,customer236@gmail.com,2024-05-02,VIP
C0237,Customer 237,customer237@gmail.com,2026-06-09,REGULAR
C0238,Customer 238,customer238@gmail.com,2026-06-20,VIP
C0239,Customer 239,customer239@gmail.com,2026-03-03,PREMIUM
C0240,Customer 240,customer240@gmail.com,2024-12-10,REGULAR
C0241,Customer 241,customer241@gmail.com,2025-10-21,PREMIUM
C0242,Customer 242,customer242@gmail.com,2024-10-27,VIP
C0243,Customer 243,customer243@gmail.com,2024-05-05,REGULAR
C0244,Customer 244,customer244@gmail.com,2026-03-22,VIP
C0245,Customer 245,customer245@gmail.com,2025-08-25,VIP
C0246,Customer 246,customer246@gmail.com,2025-06-21,PREMIUM
C0247,Customer 247,customer247@gmail.com,2025-12-19,REGULAR
C0248,Customer 248,customer248@gmail.com,2024-03-12,VIP
C0249,Customer 249,customer249@gmail.com,2024-07-27,PREMIUM
C0250,Customer 250,customer250@gmail.com,2024-11-03,REGULAR
C0251,Customer 251,customer251@gmail.com,2024-12-08,REGULAR
C0252,Customer 252,customer252@gmail.com,2025-04-28,VIP
C0253,Customer 253,customer253@gmail.com,2025-02-07,VIP
C0254,Customer 254,customer254@gmail.com,2024-02-22,PREMIUM
C0255,Customer 255,customer255@gmail.com,2026-03-24,PREMIUM
C0256,Customer 256,customer256@gmail.com,2024-09-28,PREMIUM
C0257,Customer 257,customer257@gmail.com,2025-04-21,REGULAR
C0258,Customer 258,customer258@gmail.com,2024-09-12,PREMIUM
C0259,Customer 259,customer259@gmail.com,2023-12-12,VIP
C0260,Customer 260,customer260@gmail.com,2025-03-21,PREMIUM
C0261,Customer 261,customer261@gmail.com,2024-11-11,PREMIUM
C0262,Customer 262,customer262@gmail.com,2025-11-01,REGULAR
C0263,Customer 263,customer263@gmail.com,2025-04-05,REGULAR
C0264,Customer 264,customer264@gmail.com,2024-12-04,VIP
C0265,Customer 265,customer265@gmail.com,2025-07-31,REGULAR
C0266,Customer 266,customer266@gmail.com,2025-08-12,REGULAR
C0267,Customer 267,customer267@gmail.com,2025-07-12,PREMIUM
C0268,Customer 268,customer268@gmail.com,2024-01-21,VIP
C0269,Customer 269,customer269@gmail.com,2025-10-01,VIP
C0270,Customer 270,customer270gmail.com,2023-11-13,REGULAR
C0271,Customer 271,customer271@gmail.com,2024-07-03,PREMIUM
C0272,Customer 272,customer272@gmail.com,2024-05-25,REGULAR
C0273,Customer 273,customer273@gmail.com,2024-09-17,VIP
C0274,Customer 274,customer274@gmail.com,2024-04-20,REGULAR
C0275,Customer 275,customer275@gmail.com,2025-11-26,PREMIUM
C0276,Customer 276,customer276@gmail.com,2025-08-31,VIP
C0277,Customer 277,customer277@gmail.com,2025-03-13,VIP
C0278,Customer 278,customer278@gmail.com,2025-05-01,VIP
C0279,Customer 279,customer279@gmail.com,2025-07-15,VIP
C0280,Customer 280,customer280@gmail.com,2025-08-31,PREMIUM
C0281,Customer 281,customer281@gmail.com,2024-07-02,REGULAR
C0282,Customer 282,customer282@gmail.com,2024-06-10,VIP
C0283,Customer 283,customer283@gmail.com,2024-08-03,REGULAR
C0284,Customer 284,customer284@gmail.com,2024-06-14,PREMIUM
C0285,Customer 285,customer285@gmail.com,2024-11-14,VIP
C0286,Customer 286,customer286@gmail.com,2026-03-30,REGULAR
C0287,Customer 287,customer287@gmail.com,2025-07-06,REGULAR
C0288,Customer 288,customer288@gmail.com,2024-07-15,VIP
C0289,Customer 289,customer289@gmail.com,2026-05-25,REGULAR
C0290,Customer 290,customer290@gmail.com,2024-07-26,REGULAR
C0291,Customer 291,customer291@gmail.com,2024-05-31,PREMIUM
C0292,Customer 292,customer292@gmail.com,2026-06-28,VIP
C0293,Customer 293,customer293@gmail.com,2025-03-07,PREMIUM
C0294,Customer 294,customer294@gmail.com,2026-05-19,PREMIUM
C0295,Customer 295,customer295@gmail.com,2025-03-08,REGULAR
C0296,Customer 296,customer296@gmail.com,2025-05-26,PREMIUM
C0297,Customer 297,customer297@gmail.com,2024-10-04,VIP
C0298,Customer 298,customer298@gmail.com,2026-02-08,VIP
C0299,Customer 299,customer299@gmail.com,2026-04-14,REGULAR
C0300,Customer 300,customer300@gmail.com,2024-05-19,PREMIUM
C0301,Customer 301,customer301@gmail.com,2024-04-22,VIP
C0302,Customer 302,customer302@gmail.com,2025-01-21,PREMIUM
C0303,Customer 303,customer303@gmail.com,2025-04-13,PREMIUM
C0304,Customer 304,customer304@gmail.com,2025-04-27,PREMIUM
C0305,Customer 305,customer305@gmail.com,2026-05-10,VIP
C0306,Customer 306,customer306@gmail.com,2026-03-31,REGULAR
C0307,Customer 307,customer307@gmail.com,2025-10-13,VIP
C0308,Customer 308,customer308@gmail.com,2025-11-07,REGULAR
C0309,Customer 309,customer309@gmail.com,2026-01-31,REGULAR
C0310,Customer 310,customer310@gmail.com,2024-08-04,VIP
C0311,Customer 311,customer311@gmail.com,2026-06-07,REGULAR
C0312,Customer 312,customer312@gmail.com,2025-09-24,VIP
C0313,Customer 313,customer313@gmail.com,2026-04-29,VIP
C0314,Customer 314,customer314@gmail.com,2025-10-13,VIP
C0315,Customer 315,customer315@gmail.com,2024-04-08,REGULAR
C0316,Customer 316,customer316@gmail.com,2024-12-30,REGULAR
C0317,Customer 317,customer317@gmail.com,2023-12-23,PREMIUM
C0318,Customer 318,customer318@gmail.com,2026-04-28,REGULAR
C0319,Customer 319,customer319@gmail.com,2025-08-30,VIP
C0320,Customer 320,customer320@gmail.com,2024-12-05,PREMIUM
C0321,Customer 321,customer321@gmail.com,2025-03-18,VIP
C0322,Customer 322,customer322@gmail.com,2025-05-24,PREMIUM
C0323,Customer 323,customer323@gmail.com,2025-02-20,PREMIUM
C0324,Customer 324,customer324@gmail.com,2026-05-31,PREMIUM
C0325,Customer 325,customer325@gmail.com,2024-10-30,PREMIUM
C0326,Customer 326,customer326@gmail.com,2025-11-18,VIP
C0327,Customer 327,customer327@gmail.com,2024-11-28,VIP
C0328,Customer 328,customer328@gmail.com,2024-05-18,VIP
C0329,Customer 329,customer329@gmail.com,2024-11-27,REGULAR
C0330,Customer 330,customer330@gmail.com,2026-01-12,PREMIUM
C0331,Customer 331,customer331@gmail.com,2025-04-14,PREMIUM
C0332,Customer 332,customer332@gmail.com,2024-11-18,PREMIUM
C0333,Customer 333,customer333@gmail.com,2025-02-22,REGULAR
C0334,Customer 334,customer334@gmail.com,2025-05-18,PREMIUM
C0335,Customer 335,customer335@gmail.com,2026-03-25,REGULAR
C0336,Customer 336,customer336@gmail.com,2024-07-30,PREMIUM
C0337,Customer 337,customer337@gmail.com,2023-11-16,PREMIUM
C0338,Customer 338,customer338@gmail.com,2024-12-24,REGULAR
C0339,Customer 339,customer339@gmail.com,2025-08-22,PREMIUM
C0340,Customer 340,customer340@gmail.com,2024-05-10,PREMIUM
C0341,Customer 341,customer341@gmail.com,2024-03-18,REGULAR
C0342,Customer 342,customer342@gmail.com,2025-01-01,PREMIUM
C0343,Customer 343,customer343@gmail.com,2025-12-30,VIP
C0344,Customer 344,customer344@gmail.com,2024-05-27,PREMIUM
C0345,Customer 345,customer345@gmail.com,2024-05-23,REGULAR
C0346,Customer 346,customer346@gmail.com,2024-12-25,REGULAR
C0347,Customer 347,customer347@gmail.com,2025-04-18,VIP
C0348,Customer 348,customer348@gmail.com,2026-06-11,VIP
C0349,Customer 349,customer349@gmail.com,2025-11-07,VIP
C0350,Customer 350,customer350@gmail.com,2024-12-23,REGULAR
C0351,Customer 351,customer351@gmail.com,2026-04-06,REGULAR
C0352,Customer 352,customer352@gmail.com,2023-12-19,REGULAR
C0353,Customer 353,customer353@gmail.com,2026-03-12,VIP
C0354,Customer 354,customer354@gmail.com,2025-02-15,VIP
C0355,Customer 355,customer355@gmail.com,2024-07-18,PREMIUM
C0356,Customer 356,customer356@gmail.com,2025-03-03,PREMIUM
C0357,Customer 357,customer357@gmail.com,2024-12-23,REGULAR
C0358,Customer 358,customer358@gmail.com,2023-12-10,VIP
C0359,Customer 359,customer359@gmail.com,2024-01-22,REGULAR
C0360,Customer 360,customer360@gmail.com,2025-10-01,PREMIUM
C0361,Customer 361,customer361@gmail.com,2024-04-25,VIP
C0362,Customer 362,customer362@gmail.com,2026-07-08,PREMIUM
C0363,Customer 363,customer363@gmail.com,2024-03-05,VIP
C0364,Customer 364,customer364@gmail.com,2024-09-03,PREMIUM
C0365,Customer 365,customer365@gmail.com,2025-04-09,VIP
C0366,Customer 366,customer366@gmail.com,2025-08-04,VIP
C0367,Customer 367,customer367@gmail.com,2025-06-19,PREMIUM
C0368,Customer 368,customer368@gmail.com,2024-02-01,REGULAR
C0369,Customer 369,customer369@gmail.com,2025-11-08,VIP
C0370,Customer 370,customer370@gmail.com,2024-02-15,PREMIUM
C0371,Customer 371,customer371@gmail.com,2024-06-08,PREMIUM
C0372,Customer 372,customer372@gmail.com,2024-04-01,PREMIUM
C0373,Customer 373,customer373@gmail.com,2024-08-30,VIP
C0374,Customer 374,customer374@gmail.com,2025-02-18,REGULAR
C0375,Customer 375,customer375@gmail.com,2024-11-13,PREMIUM
C0376,Customer 376,customer376@gmail.com,2024-01-27,PREMIUM
C0377,Customer 377,customer377@gmail.com,2023-12-21,PREMIUM
C0378,Customer 378,customer378gmail.com,2026-02-13,PREMIUM
C0379,Customer 379,customer379@gmail.com,2026-02-02,REGULAR
C0380,Customer 380,customer380@gmail.com,2025-10-12,PREMIUM
C0381,Customer 381,customer381@gmail.com,2025-05-29,VIP
C0382,Customer 382,customer382@gmail.com,2025-08-08,VIP
C0383,Customer 383,customer383@gmail.com,2025-06-16,PREMIUM
C0384,Customer 384,customer384@gmail.com,2024-01-14,PREMIUM
C0385,Customer 385,customer385@gmail.com,2026-06-04,VIP
C0386,Customer 386,customer386@gmail.com,2024-10-02,VIP
C0387,Customer 387,customer387@gmail.com,2025-11-20,VIP
C0388,Customer 388,customer388@gmail.com,2026-04-01,VIP
C0389,Customer 389,customer389@gmail.com,2026-03-30,PREMIUM
C0390,Customer 390,customer390@gmail.com,2025-09-07,REGULAR
C0391,Customer 391,customer391@gmail.com,2024-04-16,REGULAR
C0392,Customer 392,customer392@gmail.com,2025-06-22,PREMIUM
C0393,Customer 393,customer393@gmail.com,2025-01-13,PREMIUM
C0394,Customer 394,customer394@gmail.com,2024-04-20,REGULAR
C0395,Customer 395,customer395@gmail.com,2026-04-21,VIP
C0396,Customer 396,customer396@gmail.com,2024-10-14,VIP
C0397,Customer 397,customer397@gmail.com,2023-12-19,VIP
C0398,Customer 398,customer398@gmail.com,2025-03-25,VIP
C0399,Customer 399,customer399@gmail.com,2025-10-22,VIP
C0400,Customer 400,customer400gmail.com,2024-04-08,PREMIUM
C0401,Customer 401,customer401@gmail.com,2024-08-16,VIP
C0402,Customer 402,customer402@gmail.com,2025-04-14,PREMIUM
C0403,Customer 403,customer403@gmail.com,2025-09-07,VIP
C0404,Customer 404,customer404@gmail.com,2024-08-03,PREMIUM
C0405,Customer 405,customer405@gmail.com,2025-09-04,REGULAR
C0406,Customer 406,customer406@gmail.com,2024-02-18,PREMIUM
C0407,Customer 407,customer407@gmail.com,2025-06-15,VIP
C0408,Customer 408,customer408@gmail.com,2025-09-11,VIP
C0409,Customer 409,customer409@gmail.com,2024-03-13,VIP
C0410,Customer 410,customer410@gmail.com,2026-07-02,VIP
C0411,Customer 411,customer411@gmail.com,2024-05-05,VIP
C0412,Customer 412,customer412@gmail.com,2023-12-21,VIP
C0413,Customer 413,customer413@gmail.com,2024-03-10,PREMIUM
C0414,Customer 414,customer414@gmail.com,2025-11-17,VIP
C0415,Customer 415,customer415@gmail.com,2025-11-28,VIP
C0416,Customer 416,customer416@gmail.com,2025-10-27,VIP
C0417,Customer 417,customer417@gmail.com,2024-05-16,VIP
C0418,Customer 418,customer418@gmail.com,2026-02-20,VIP
C0419,Customer 419,customer419@gmail.com,2024-10-06,VIP
C0420,Customer 420,customer420@gmail.com,2024-04-24,PREMIUM
C0421,Customer 421,customer421@gmail.com,2025-07-02,VIP
C0422,Customer 422,customer422@gmail.com,2023-12-22,PREMIUM
C0423,Customer 423,customer423@gmail.com,2025-05-11,REGULAR
C0424,Customer 424,customer424@gmail.com,2024-04-26,VIP
C0425,Customer 425,customer425@gmail.com,2025-07-01,VIP
C0426,Customer 426,customer426@gmail.com,2025-10-04,REGULAR
C0427,Customer 427,customer427@gmail.com,2024-03-18,PREMIUM
C0428,Customer 428,customer428@gmail.com,2025-09-11,VIP
C0429,Customer 429,customer429@gmail.com,2024-04-08,REGULAR
